image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
5840.pgm,256x256,5810,3.9192,TRUE,inf,0.007375727,-0.000152,7.997142381,260.40625,92.59185791,4.103561102
5841.pgm,256x256,15772,5.1804,TRUE,inf,0.001013738,-0.001027664,7.996997286,272.65625,83.18939209,1.732650458
5842.pgm,256x256,6544,5.5002,TRUE,inf,0.006236857,0.006711884,7.99771614,206.875,83.75396729,0.997709386
5843.pgm,256x256,1852,4.3635,TRUE,inf,0.004255282,0.004582689,7.997485645,228.109375,92.57354736,2.160967659
5844.pgm,256x256,9560,4.8557,TRUE,inf,0.004020318,0.006432484,7.997418179,233.4609375,87.46032715,1.941306918
5845.pgm,256x256,7226,5.522,TRUE,inf,0.006021203,0.003093912,7.996867303,284.078125,83.32977295,0.981026444
5846.pgm,256x256,5868,4.6995,TRUE,inf,0.006248942,0.004034599,7.997036038,270.3125,89.90478516,2.058626063
5847.pgm,256x256,6704,4.6963,TRUE,inf,0.002037914,0.004375026,7.99736541,238.515625,89.23492432,2.03689276
5848.pgm,256x256,12044,4.9778,TRUE,inf,0.006291482,0.002027767,7.996885477,282.8828125,85.86578369,1.866341385
5849.pgm,256x256,2748,5.3538,TRUE,inf,0.001538196,0.006043121,7.99702652,269.203125,85.94665527,1.058134191
585.pgm,256x256,5532,3.8462,TRUE,inf,-0.000441812,-0.002221545,7.99722601,252.6640625,93.03588867,4.142827053
5850.pgm,256x256,12435,5.0183,TRUE,inf,0.004544374,0.006268565,7.997050649,266.0625,85.58502197,1.85487635
5851.pgm,256x256,6176,3.8586,TRUE,inf,0.004955941,0.004924399,7.997313007,243.921875,92.41027832,4.069064271
5852.pgm,256x256,14757,5.135,TRUE,inf,0.005816574,0.003898427,7.997291294,245.96875,83.92181396,1.777523265
5853.pgm,256x256,2480,3.6077,TRUE,inf,0.004434601,-0.000705625,7.99756798,221.375,95.18890381,4.338935403
5854.pgm,256x256,2354,2.7283,TRUE,inf,0.003892886,0.007885336,7.996247266,340.59375,96.60491943,8.584816129
5855.pgm,256x256,14364,5.0732,TRUE,inf,0.002848276,0.005753311,7.997493901,228.4375,84.32159424,1.772425034
5856.pgm,256x256,8032,3.0464,TRUE,inf,-0.000115493,0.005939345,7.996956341,276.5859375,92.527771,7.725656547
5857.pgm,256x256,640,4.3401,TRUE,inf,0.001856921,0.002070968,7.997092186,263.8515625,93.359375,2.195895326
5858.pgm,256x256,3664,2.8074,TRUE,inf,0.006325948,-0.003657991,7.997012255,270.0078125,95.61309814,8.454559925
5859.pgm,256x256,11953,4.238,TRUE,inf,0.001771754,-0.003918465,7.997157246,257.6171875,88.3026123,3.69689343
586.pgm,256x256,4924,3.78,TRUE,inf,0.010077112,0.004325138,7.996918795,280.0859375,93.34716797,4.163836311
5860.pgm,256x256,9967,3.3447,TRUE,inf,0.003646155,0.001157448,7.997350388,240,91.01409912,7.640751857
5861.pgm,256x256,1010,2.5735,TRUE,inf,0.001106496,0.003762088,7.997016741,272.09375,97.63793945,8.881877824
5862.pgm,256x256,12272,4.9524,TRUE,inf,0.005866468,-0.001681336,7.997085836,265.4765625,85.55908203,1.832951564
5863.pgm,256x256,1069,2.5713,TRUE,inf,0.002263577,0.004991908,7.997375962,237.9609375,97.68371582,8.764971565
5864.pgm,256x256,5084,4.5845,TRUE,inf,0.004458533,0.000118235,7.997250027,250.0078125,90.42816162,2.089604396
5865.pgm,256x256,2994,4.4819,TRUE,inf,0.008419208,0.001040578,7.996739877,296.1875,91.82891846,2.142746869
5866.pgm,256x256,901,2.5322,TRUE,inf,0.004133665,0.006190174,7.997367718,239.796875,97.80578613,8.779213101
5867.pgm,256x256,8296,3.9675,TRUE,inf,0.004932517,0.002919361,7.996986231,274.921875,90.97290039,3.953336828
5868.pgm,256x256,6495,3.7986,TRUE,inf,0.004572823,0.002393951,7.997073504,265.4921875,92.34771729,4.06739478
5869.pgm,256x256,3648,3.6497,TRUE,inf,0.008027326,0.002334878,7.997514288,225.2109375,94.37103271,4.280778473
587.pgm,256x256,6874,3.0916,TRUE,inf,0.004712943,0.00526603,7.997393079,236.4609375,93.3303833,8.095966414
