Image,mean_zero_planes
1671.pgm,4.87384033203125
1672.pgm,5.0592041015625
1673.pgm,4.76605224609375
1674.pgm,5.28350830078125
1675.pgm,3.84759521484375
1676.pgm,3.8963623046875
1677.pgm,4.920166015625
1678.pgm,5.326171875
1679.pgm,4.5736083984375
168.pgm,3.57952880859375
1680.pgm,5.131591796875
1681.pgm,4.65380859375
1682.pgm,5.12109375
1683.pgm,4.72174072265625
1684.pgm,5.0421142578125
1685.pgm,5.02227783203125
1686.pgm,4.80224609375
1687.pgm,4.6856689453125
1688.pgm,5.0557861328125
1689.pgm,2.51385498046875
169.pgm,3.6124267578125
1690.pgm,4.6607666015625
1691.pgm,4.915771484375
1692.pgm,5.7626953125
1693.pgm,4.4554443359375
1694.pgm,4.78619384765625
1695.pgm,4.6868896484375
1696.pgm,5.1961669921875
1697.pgm,5.2159423828125
1698.pgm,5.18890380859375
1699.pgm,4.8802490234375
17.pgm,4.8585205078125
170.pgm,4.92864990234375
1700.pgm,4.75311279296875
1701.pgm,4.882080078125
1702.pgm,5.33978271484375
1703.pgm,5.0675048828125
1704.pgm,5.62286376953125
1705.pgm,5.28253173828125
1706.pgm,4.90081787109375
1707.pgm,4.6807861328125
1708.pgm,5.09185791015625
1709.pgm,5.15252685546875
171.pgm,5.326416015625
1710.pgm,4.7633056640625
1711.pgm,4.81109619140625
1712.pgm,5.25701904296875
1713.pgm,3.52294921875
1714.pgm,4.3349609375
1715.pgm,4.7099609375
1716.pgm,5.19659423828125
1717.pgm,5.026611328125
1718.pgm,5.370361328125
1719.pgm,4.9097900390625
172.pgm,4.6673583984375
1720.pgm,4.86431884765625
1721.pgm,4.97589111328125
1722.pgm,5.4632568359375
1723.pgm,4.7215576171875
1724.pgm,5.18499755859375
1725.pgm,4.7257080078125
1726.pgm,4.88165283203125
1727.pgm,4.97747802734375
1728.pgm,4.79864501953125
1729.pgm,6.1226806640625
173.pgm,4.98760986328125
1730.pgm,4.7301025390625
1731.pgm,4.6192626953125
1732.pgm,6.25274658203125
1733.pgm,4.57275390625
1734.pgm,5.5194091796875
1735.pgm,5.09393310546875
1736.pgm,4.95184326171875
1737.pgm,3.45684814453125
1738.pgm,5.26434326171875
1739.pgm,4.7010498046875
174.pgm,5.45477294921875
1740.pgm,4.474853515625
1741.pgm,4.41253662109375
1742.pgm,5.56036376953125
1743.pgm,5.19940185546875
1744.pgm,5.04864501953125
1745.pgm,4.7398681640625
1746.pgm,5.00079345703125
1747.pgm,2.01025390625
1748.pgm,4.87408447265625
1749.pgm,5.15106201171875
175.pgm,5.119873046875
1750.pgm,4.7374267578125
1751.pgm,5.02410888671875
1752.pgm,3.63604736328125
1753.pgm,4.7144775390625
1754.pgm,4.89166259765625
1755.pgm,5.00653076171875
1756.pgm,4.9462890625
1757.pgm,5.12603759765625
1758.pgm,4.731201171875
1759.pgm,4.07989501953125
176.pgm,4.4840087890625
1760.pgm,4.760986328125
1761.pgm,4.11236572265625
1762.pgm,5.40228271484375
1763.pgm,5.00018310546875
1764.pgm,4.7020263671875
1765.pgm,5.07257080078125
1766.pgm,4.47735595703125
1767.pgm,4.8406982421875
1768.pgm,4.7388916015625
1769.pgm,5.3455810546875
177.pgm,3.5755615234375
1770.pgm,4.537353515625
1771.pgm,4.6771240234375
1772.pgm,4.96600341796875
1773.pgm,4.992919921875
1774.pgm,4.87774658203125
1775.pgm,4.50958251953125
1776.pgm,4.833251953125
1777.pgm,5.31903076171875
1778.pgm,5.14984130859375
1779.pgm,4.729736328125
178.pgm,6.6253662109375
1780.pgm,5.69976806640625
1781.pgm,5.059326171875
1782.pgm,4.59832763671875
1783.pgm,4.52783203125
1784.pgm,4.4033203125
1785.pgm,3.9827880859375
1786.pgm,4.0238037109375
1787.pgm,4.824462890625
1788.pgm,5.12799072265625
1789.pgm,4.86749267578125
179.pgm,5.8983154296875
1790.pgm,2.114501953125
1791.pgm,4.74560546875
1792.pgm,5.29736328125
1793.pgm,5.34942626953125
1794.pgm,4.927978515625
1795.pgm,3.63641357421875
1796.pgm,4.3785400390625
1797.pgm,5.10064697265625
1798.pgm,5.31451416015625
1799.pgm,4.94915771484375
18.pgm,5.11541748046875
180.pgm,5.93316650390625
1800.pgm,5.44830322265625
1801.pgm,5.37030029296875
