image_name,image_size,embedded_bits,capacity_bpp,extraction_success,psnr,correlation_h_enc,correlation_v_enc,entropy_enc,chi2_enc,npcr,uaci
6528.pgm,512x512,53664,5.0129,TRUE,inf,0.001477646,0.00268676,7.999360422,232.7597656,84.78164673,1.800365074
6529.pgm,512x512,5941,5.2604,TRUE,inf,0.000357679,0.002691353,7.99936034,232.4121094,86.769104,1.058844772
653.pgm,512x512,82848,6.1415,TRUE,inf,0.000522771,0.003073187,7.999335738,241.8085938,75.79193115,0.808500402
6530.pgm,512x512,58656,5.0923,TRUE,inf,0.00137075,0.003973207,7.999302525,253.8457031,84.02290344,1.761515
6531.pgm,512x512,21492,4.6002,TRUE,inf,-0.000274267,0.004574524,7.999277384,263.0703125,90.11497498,2.05257341
6532.pgm,512x512,56340,5.057,TRUE,inf,-0.000341005,0.004189514,7.999280168,261.3066406,84.30252075,1.774899352
6533.pgm,512x512,64472,5.2081,TRUE,inf,-0.000332927,0.004518846,7.999267784,266.2265625,83.09593201,1.72001259
6534.pgm,512x512,60110,5.9232,TRUE,inf,0.000665662,0.000816213,7.999232553,278.7480469,78.92532349,0.888326308
6535.pgm,512x512,14494,5.3893,TRUE,inf,0.000993046,0.004422137,7.999276948,262.890625,85.52474976,1.038872214
6536.pgm,512x512,20128,4.5321,TRUE,inf,0.002874492,0.003960058,7.999353745,234.5859375,90.37361145,2.054317699
6537.pgm,512x512,63492,5.1622,TRUE,inf,-0.000109489,0.004715694,7.999328425,243.8144531,83.1817627,1.723408419
6538.pgm,512x512,3696,5.2485,TRUE,inf,0.001271362,0.003317019,7.999266182,266.5488281,87.059021,1.075930128
6539.pgm,512x512,40296,4.8245,TRUE,inf,0.001543788,0.004738738,7.999223417,281.8710938,87.02163696,1.899569642
654.pgm,512x512,39596,5.6684,TRUE,inf,0.000740977,0.002327074,7.999359222,232.4492188,81.89582825,0.957755295
6540.pgm,512x512,6640,5.2791,TRUE,inf,0.000238864,0.00386728,7.999283206,260.8085938,86.60469055,1.063393986
6541.pgm,512x512,65332,5.2031,TRUE,inf,-0.000575686,0.002262913,7.999479349,188.6503906,82.68241882,1.716603298
6542.pgm,512x512,49432,4.9629,TRUE,inf,-0.000337639,0.003071318,7.999310493,250.4316406,85.44197083,1.838697546
6543.pgm,512x512,40240,4.8548,TRUE,inf,-0.00054929,0.001682037,7.999354178,234.875,87.07733154,1.903320013
6544.pgm,512x512,41064,4.8502,TRUE,inf,0.001092965,0.003687618,7.999345849,237.8671875,86.90376282,1.894196155
6545.pgm,512x512,50964,5.0314,TRUE,inf,0.000138381,0.002387078,7.999354966,234.3789063,85.30387878,1.831795188
6546.pgm,512x512,14692,4.4888,TRUE,inf,0.001015394,0.004831429,7.999323045,246.5703125,91.30744934,2.099121692
6547.pgm,512x512,33832,4.7739,TRUE,inf,-0.001217063,0.00208237,7.999297752,254.7714844,88.13095093,1.955202888
6548.pgm,512x512,25012,4.6465,TRUE,inf,0.00061538,0.005524603,7.999249503,272.6152344,89.59159851,2.024072385
6549.pgm,512x512,27656,4.6791,TRUE,inf,-0.000803171,0.00429972,7.999304624,252.7265625,89.06517029,2.000675575
655.pgm,512x512,36956,4.8165,TRUE,inf,0.000504444,0.00230726,7.999280762,260.6425781,87.49961853,1.927602431
6550.pgm,512x512,33851,4.7875,TRUE,inf,0.000705372,0.004027518,7.9993839,223.9238281,88.15002441,1.96284425
