image_name,image_size,I_corr_h,I_corr_v,I_se,I_chi2,If_corr_h,If_corr_v,If_se,If_chi2,Im_corr_h,Im_corr_v,Im_se,Im_chi2,npcr_If_I,uaci_If_I,mae_If_I,npcr_Im_I,uaci_Im_I,mae_Im_I,npcr_Im_If,uaci_Im_If,mae_Im_If,embedded_bits,capacity_bpp,extraction_success,psnr_recovery
4475.pgm,256x256,0.990114,0.983012,6.807403,401551.91,0.006398,0.002061,7.99691,281.62,0.006381,0.00207,7.996953,277.09,99.6033,32.8037,83.6495,99.6048,32.8034,83.6487,7.7087,0.0302,0.0771,10260,4.0981,True,inf
4476.pgm,256x256,0.954601,0.921233,6.563031,206260.47,0.004401,0.002093,7.997227,251.09,0.004423,0.002106,7.997362,239.09,99.6246,30.9947,79.0364,99.6399,30.995,79.0372,7.3502,0.0288,0.0735,9606,4.061,True,inf
4477.pgm,256x256,0.905109,0.903267,6.369447,203115.11,0.00566,0.002818,7.996732,295.62,0.005658,0.002796,7.996885,282.28,99.6109,28.3413,72.2702,99.6048,28.3412,72.2699,6.041,0.0237,0.0604,7952,3.9673,True,inf
4478.pgm,256x256,0.973443,0.960171,7.379858,62154.07,-0.000498,0.003269,7.996798,290.13,-0.000492,0.003266,7.996844,286.15,99.5758,30.3924,77.5005,99.5804,30.392,77.4997,4.3854,0.0172,0.0439,5737,2.8987,True,inf
4479.pgm,256x256,0.990428,0.985923,7.359093,50457.59,0.00524,0.00506,7.997118,262.69,0.00524,0.005045,7.997122,261.98,99.6017,30.6768,78.2259,99.6017,30.6772,78.2269,9.256,0.0363,0.0926,11963,4.948,True,inf
448.pgm,256x256,0.997512,0.996273,6.028111,277698.36,0.008199,0.001357,7.997176,258.06,0.008194,0.001355,7.997164,258.99,99.6048,27.4346,69.9582,99.6063,27.4345,69.9581,0.2701,0.0011,0.0027,364,6.1987,True,inf
4480.pgm,256x256,0.966453,0.955516,7.232713,68583.62,-0.000753,0.001799,7.997282,248.05,-0.000763,0.001801,7.997277,248.19,99.6262,30.1564,76.8989,99.6338,30.1569,76.9001,2.6047,0.0102,0.026,3450,2.8337,True,inf
4481.pgm,256x256,0.981369,0.970442,7.47212,68948.05,0.001446,0.000291,7.997277,246.8,0.001432,0.00029,7.997328,242.67,99.5987,35.1876,89.7283,99.6078,35.1879,89.7292,3.334,0.0131,0.0333,4483,3.7234,True,inf
4482.pgm,256x256,0.985873,0.977284,7.464016,61412.14,0.004825,-0.000481,7.997258,248.62,0.00482,-0.000465,7.997205,253.11,99.588,33.661,85.8356,99.5865,33.6613,85.8362,5.8655,0.023,0.0587,7740,3.907,True,inf
4483.pgm,256x256,0.961008,0.939405,6.636039,138176.95,0.003492,0.003575,7.996644,304.0,0.003502,0.003551,7.996814,287.58,99.6155,28.1669,71.8257,99.6124,28.1671,71.8262,6.0837,0.0239,0.0608,8035,4.7183,True,inf
